Va;Vb;Vc;Ia;Ib;Ic;RF;Factor_Carga;Nodo_Falla;Tipo_Falla
127,015;127,017;127,017;355,939;12,8642;16,3424;0;0,7;Nodo 2;LG A
127,015;127,017;127,017;355,939;12,0548;17,1486;0;1;Nodo 2;LG A
127,015;127,017;127,017;355,939;11,2543;17,9656;0;1,3;Nodo 2;LG A
127,017;127,017;127,017;139,848;1,78749;9,64008;0,5;0,7;Nodo 2;LG A
127,017;127,017;127,017;140,379;2,13443;10,1481;0,5;1;Nodo 2;LG A
127,017;127,017;127,017;140,912;2,74572;10,7274;0,5;1,3;Nodo 2;LG A
127,017;127,017;127,017;81,9926;1,26875;7,53788;1;0,7;Nodo 2;LG A
127,017;127,017;127,017;82,6763;2,0018;7,91648;1;1;Nodo 2;LG A
127,017;127,017;127,017;83,3647;2,85475;8,39931;1;1,3;Nodo 2;LG A
127,017;127,017;127,017;45,0771;2,75707;6,16523;2;0,7;Nodo 2;LG A
127,017;127,017;127,017;45,8436;3,12985;6,44287;2;1;Nodo 2;LG A
127,017;127,017;127,017;46,6176;3,71812;6,85626;2;1,3;Nodo 2;LG A
127,017;127,017;127,017;20,2322;3,81219;5,23015;5;0,7;Nodo 2;LG A
127,017;127,017;127,017;21,0095;4,02826;5,42555;5;1;Nodo 2;LG A
127,017;127,017;127,017;21,8035;4,4518;5,78682;5;1,3;Nodo 2;LG A
127,017;127,017;127,017;11,716;4,18394;4,9012;10;0,7;Nodo 2;LG A
127,017;127,017;127,017;12,4292;4,35378;5,06363;10;1;Nodo 2;LG A
127,017;127,017;127,017;13,1774;4,72501;5,40516;10;1,3;Nodo 2;LG A
127,017;127,017;127,017;7,66696;4,37324;4,73384;20;0,7;Nodo 2;LG A
127,017;127,017;127,017;8,25393;4,52077;4,87843;20;1;Nodo 2;LG A
127,017;127,017;127,017;8,91157;4,86638;5,20955;20;1,3;Nodo 2;LG A
127,017;127,017;127,017;5,5719;4,48788;4,63258;50;0,7;Nodo 2;LG A
127,017;127,017;127,017;5,9598;4,62226;4,76597;50;1;Nodo 2;LG A
127,017;127,017;127,017;6,47584;4,95265;5,09065;50;1,3;Nodo 2;LG A
127,017;127,015;127,017;16,3424;355,939;12,8642;0;0,7;Nodo 2;LG B
127,017;127,015;127,017;17,1486;355,939;12,0548;0;1;Nodo 2;LG B
127,017;127,015;127,017;17,9656;355,939;11,2543;0;1,3;Nodo 2;LG B
127,017;127,017;127,017;9,64008;139,848;1,78749;0,5;0,7;Nodo 2;LG B
127,017;127,017;127,017;10,1481;140,379;2,13443;0,5;1;Nodo 2;LG B
127,017;127,017;127,017;10,7274;140,912;2,74572;0,5;1,3;Nodo 2;LG B
127,017;127,017;127,017;7,53788;81,9926;1,26875;1;0,7;Nodo 2;LG B
127,017;127,017;127,017;7,91648;82,6763;2,0018;1;1;Nodo 2;LG B
127,017;127,017;127,017;8,39931;83,3647;2,85475;1;1,3;Nodo 2;LG B
127,017;127,017;127,017;6,16523;45,0771;2,75707;2;0,7;Nodo 2;LG B
127,017;127,017;127,017;6,44287;45,8436;3,12985;2;1;Nodo 2;LG B
127,017;127,017;127,017;6,85626;46,6176;3,71812;2;1,3;Nodo 2;LG B
127,017;127,017;127,017;5,23015;20,2322;3,81219;5;0,7;Nodo 2;LG B
127,017;127,017;127,017;5,42555;21,0095;4,02826;5;1;Nodo 2;LG B
127,017;127,017;127,017;5,78682;21,8035;4,4518;5;1,3;Nodo 2;LG B
127,017;127,017;127,017;4,9012;11,716;4,18394;10;0,7;Nodo 2;LG B
127,017;127,017;127,017;5,06363;12,4292;4,35378;10;1;Nodo 2;LG B
127,017;127,017;127,017;5,40516;13,1774;4,72501;10;1,3;Nodo 2;LG B
127,017;127,017;127,017;4,73384;7,66696;4,37324;20;0,7;Nodo 2;LG B
127,017;127,017;127,017;4,87843;8,25393;4,52077;20;1;Nodo 2;LG B
127,017;127,017;127,017;5,20955;8,91157;4,86638;20;1,3;Nodo 2;LG B
127,017;127,017;127,017;4,63258;5,5719;4,48788;50;0,7;Nodo 2;LG B
127,017;127,017;127,017;4,76597;5,9598;4,62226;50;1;Nodo 2;LG B
127,017;127,017;127,017;5,09065;6,47584;4,95265;50;1,3;Nodo 2;LG B
127,017;127,017;127,015;12,8642;16,3424;355,939;0;0,7;Nodo 2;LG C
127,017;127,017;127,015;12,0548;17,1486;355,939;0;1;Nodo 2;LG C
127,017;127,017;127,015;11,2543;17,9656;355,939;0;1,3;Nodo 2;LG C
127,017;127,017;127,017;1,78749;9,64008;139,848;0,5;0,7;Nodo 2;LG C
127,017;127,017;127,017;2,13443;10,1481;140,379;0,5;1;Nodo 2;LG C
127,017;127,017;127,017;2,74572;10,7274;140,912;0,5;1,3;Nodo 2;LG C
127,017;127,017;127,017;1,26875;7,53788;81,9926;1;0,7;Nodo 2;LG C
127,017;127,017;127,017;2,0018;7,91648;82,6763;1;1;Nodo 2;LG C
127,017;127,017;127,017;2,85475;8,39931;83,3647;1;1,3;Nodo 2;LG C
127,017;127,017;127,017;2,75707;6,16523;45,0771;2;0,7;Nodo 2;LG C
127,017;127,017;127,017;3,12985;6,44287;45,8436;2;1;Nodo 2;LG C
127,017;127,017;127,017;3,71812;6,85626;46,6176;2;1,3;Nodo 2;LG C
127,017;127,017;127,017;3,81219;5,23015;20,2322;5;0,7;Nodo 2;LG C
127,017;127,017;127,017;4,02826;5,42555;21,0095;5;1;Nodo 2;LG C
127,017;127,017;127,017;4,4518;5,78682;21,8035;5;1,3;Nodo 2;LG C
127,017;127,017;127,017;4,18394;4,9012;11,716;10;0,7;Nodo 2;LG C
127,017;127,017;127,017;4,35378;5,06363;12,4292;10;1;Nodo 2;LG C
127,017;127,017;127,017;4,72501;5,40516;13,1774;10;1,3;Nodo 2;LG C
127,017;127,017;127,017;4,37324;4,73384;7,66696;20;0,7;Nodo 2;LG C
127,017;127,017;127,017;4,52077;4,87843;8,25393;20;1;Nodo 2;LG C
127,017;127,017;127,017;4,86638;5,20955;8,91157;20;1,3;Nodo 2;LG C
127,017;127,017;127,017;4,48788;4,63258;5,5719;50;0,7;Nodo 2;LG C
127,017;127,017;127,017;4,62226;4,76597;5,9598;50;1;Nodo 2;LG C
127,017;127,017;127,017;4,95265;5,09065;6,47584;50;1,3;Nodo 2;LG C
127,016;127,015;127,017;310,098;306,411;4,56474;0;0,7;Nodo 2;LL AB
127,016;127,015;127,017;310,397;306,11;4,69044;0;1;Nodo 2;LL AB
127,016;127,015;127,017;310,696;305,809;5,01075;0;1,3;Nodo 2;LL AB
127,017;127,016;127,017;187,099;182,569;4,56474;0,5;0,7;Nodo 2;LL AB
127,017;127,016;127,017;187,393;182,721;4,69044;0,5;1;Nodo 2;LL AB
127,017;127,016;127,017;187,689;182,877;5,01075;0,5;1,3;Nodo 2;LL AB
127,017;127,016;127,017;125,919;121,368;4,56474;1;0,7;Nodo 2;LL AB
127,017;127,016;127,017;126,293;121,795;4,69044;1;1;Nodo 2;LL AB
127,017;127,016;127,017;126,67;122,227;5,01075;1;1,3;Nodo 2;LL AB
127,017;127,017;127,017;75,1928;70,7654;4,56474;2;0,7;Nodo 2;LL AB
127,017;127,017;127,017;75,6473;71,4322;4,69044;2;1;Nodo 2;LL AB
127,017;127,017;127,017;76,1098;72,1049;5,01075;2;1,3;Nodo 2;LL AB
127,017;127,017;127,017;35,1264;30,9606;4,56474;5;0,7;Nodo 2;LL AB
127,017;127,017;127,017;35,6268;31,8157;4,69044;5;1;Nodo 2;LL AB
127,017;127,017;127,017;36,1462;32,677;5,01075;5;1,3;Nodo 2;LL AB
127,017;127,017;127,017;19,9938;16,1258;4,56474;10;0,7;Nodo 2;LL AB
127,017;127,017;127,017;20,4801;17,0412;4,69044;10;1;Nodo 2;LL AB
127,017;127,017;127,017;21,0009;17,9632;5,01075;10;1,3;Nodo 2;LL AB
127,017;127,017;127,017;12,158;8,80609;4,56474;20;0,7;Nodo 2;LL AB
127,017;127,017;127,017;12,5937;9,69947;4,69044;20;1;Nodo 2;LL AB
127,017;127,017;127,017;13,0889;10,6087;5,01075;20;1,3;Nodo 2;LL AB
127,017;127,017;127,017;7,47685;5,26415;4,56474;50;0,7;Nodo 2;LL AB
127,017;127,017;127,017;7,81043;5,93392;4,69044;50;1;Nodo 2;LL AB
127,017;127,017;127,017;8,24888;6,68214;5,01075;50;1,3;Nodo 2;LL AB
127,017;127,016;127,015;4,56474;310,098;306,411;0;0,7;Nodo 2;LL BC
127,017;127,016;127,015;4,69044;310,397;306,11;0;1;Nodo 2;LL BC
127,017;127,016;127,015;5,01075;310,696;305,809;0;1,3;Nodo 2;LL BC
127,017;127,017;127,016;4,56474;187,099;182,569;0,5;0,7;Nodo 2;LL BC
127,017;127,017;127,016;4,69044;187,393;182,721;0,5;1;Nodo 2;LL BC
127,017;127,017;127,016;5,01075;187,689;182,877;0,5;1,3;Nodo 2;LL BC
127,017;127,017;127,016;4,56474;125,919;121,368;1;0,7;Nodo 2;LL BC
127,017;127,017;127,016;4,69044;126,293;121,795;1;1;Nodo 2;LL BC
127,017;127,017;127,016;5,01075;126,67;122,227;1;1,3;Nodo 2;LL BC
