Va;Vb;Vc;phi_Va;phi_Vb;phi_Vc;Ia;Ib;Ic;phi_Ia;phi_Ib;phi_Ic;RF;Factor_Carga;Nodo_Falla;Tipo_Falla
127,005;127,011;127,012;-0,00482229;-120,003;119,994;49,6316;6,69354;14,7931;-79,123;140,21;89,6617;0;0,8;611;L C
127,005;127,011;127,012;-0,00482229;-120,003;119,994;48,011;7,40973;14,7664;-69,3396;148,433;93,828;0,5;0,8;611;L C
127,005;127,011;127,012;-0,00482229;-120,003;119,994;45,0856;7,78948;14,4611;-61,2378;155,824;97,1973;1;0,8;611;L C
127,005;127,011;127,012;-0,00482229;-120,003;119,994;38,5024;7,94146;13,6037;-50,1168;166,864;101,299;2;0,8;611;L C
127,005;127,011;127,012;-0,00482229;-120,003;119,994;26,1401;7,38358;11,9283;-38,4762;-178,458;103,813;5;0,8;611;L C
127,005;127,011;127,012;-0,00482229;-120,003;119,994;19,022;6,78923;11,0377;-36,9075;-171,519;103;10;0,8;611;L C
127,005;127,011;127,012;-0,00482229;-120,003;119,994;15,0157;6,36744;10,5767;-39,586;-167,848;101,753;20;0,8;611;L C
127,005;127,011;127,012;-0,00482229;-120,003;119,994;12,6466;6,07181;10,316;-43,9613;-165,671;100,657;50;0,8;611;L C
127,001;127,009;127,01;-0,00593327;-120,003;119,992;50,4563;7,33025;17,0364;-78,8078;151,305;87,98;0;1;611;L C
127,001;127,009;127,01;-0,00593327;-120,003;119,992;49,0232;8,20009;17,1424;-69,5525;157,058;91,2411;0,5;1;611;L C
127,001;127,009;127,01;-0,00593327;-120,003;119,992;46,2578;8,71788;16,9595;-61,9938;162,716;93,9386;1;1;611;L C
127,001;127,009;127,01;-0,00593327;-120,003;119,992;39,9804;9,07017;16,2924;-51,8832;171,515;97,2984;2;1;611;L C
127,001;127,009;127,01;-0,00593327;-120,003;119,992;28,2833;8,77252;14,8698;-42,0641;-176,629;99,695;5;1;611;L C
127,001;127,009;127,01;-0,00593327;-120,003;119,992;21,6409;8,30245;14,0731;-41,3251;-171,068;99,5071;10;1;611;L C
127,001;127,009;127,01;-0,00593327;-120,003;119,992;17,9433;7,94816;13,6421;-43,8811;-168,155;98,8897;20;1;611;L C
127,001;127,009;127,01;-0,00593327;-120,003;119,992;15,764;7,6938;13,3882;-47,4229;-166,44;98,2981;50;1;611;L C
126,996;127,007;127,007;-0,00696955;-120,004;119,99;51,4072;8,33416;19,5735;-78,5381;160,796;86,2119;0;1,2;611;L C
126,996;127,007;127,007;-0,00696955;-120,004;119,99;50,1439;9,27932;19,828;-69,8713;164,353;88,7023;0,5;1,2;611;L C
126,996;127,007;127,007;-0,00696955;-120,004;119,99;47,5301;9,88311;19,7845;-62,9039;168,428;90,8533;1;1,2;611;L C
126,996;127,007;127,007;-0,00696955;-120,004;119,99;41,5706;10,3773;19,3314;-53,8576;175,184;93,6516;2;1,2;611;L C
126,996;127,007;127,007;-0,00696955;-120,004;119,99;30,6187;10,292;18,1811;-45,7861;-175,442;96,004;5;1,2;611;L C
126,996;127,007;127,007;-0,00696955;-120,004;119,99;24,5112;9,93629;17,4841;-45,6687;-171,021;96,2633;10;1,2;611;L C
126,996;127,007;127,007;-0,00696955;-120,004;119,99;21,1487;9,64816;17,0875;-48,0074;-168,703;96,0721;20;1,2;611;L C
126,996;127,007;127,007;-0,00696955;-120,004;119,99;19,1712;9,43571;16,8444;-50,8625;-167,337;95,8157;50;1,2;611;L C
127,005;127,011;127,012;-0,00482229;-120,003;119,994;126,385;16,8348;25,9166;-82,737;108,459;88,9494;0;0,8;632;L A
127,005;127,011;127,012;-0,00482229;-120,003;119,994;105,342;16,3312;22,9643;-56,576;137,864;105,735;0,5;0,8;632;L A
127,005;127,011;127,012;-0,00482229;-120,003;119,994;81,0736;14,2026;19,1881;-42,1301;155,08;112,911;1;0,8;632;L A
127,005;127,011;127,012;-0,00482229;-120,003;119,994;53,3975;11,2617;15,0433;-30,7761;171,036;114,919;2;0,8;632;L A
127,005;127,011;127,012;-0,00482229;-120,003;119,994;28,7858;8,33125;11,8596;-26,8986;-175,506;109,932;5;0,8;632;L A
127,005;127,011;127,012;-0,00482229;-120,003;119,994;19,6382;7,14016;10,9043;-30,729;-170,177;105,706;10;0,8;632;L A
127,005;127,011;127,012;-0,00482229;-120,003;119,994;15,1792;6,50916;10,4967;-36,552;-167,307;102,952;20;0,8;632;L A
127,005;127,011;127,012;-0,00482229;-120,003;119,994;12,6879;6,12047;10,2831;-42,8024;-165,504;101,094;50;0,8;632;L A
127,005;127,011;127,012;-0,00482229;-120,003;119,994;28,6784;126,186;14,5921;-37,7797;157,235;4,59798;0;0,8;632;L B
127,005;127,011;127,012;-0,00482229;-120,003;119,994;23,6816;104,77;16,6277;-22,6132;-175,651;36,6072;0,5;0,8;632;L B
127,005;127,011;127,012;-0,00482229;-120,003;119,994;18,8021;79,8208;16,0001;-17,9734;-159,98;55,4187;1;0,8;632;L B
127,005;127,011;127,012;-0,00482229;-120,003;119,994;14,1531;51,0352;14,2609;-21,3861;-146,594;72,9904;2;0,8;632;L B
127,005;127,011;127,012;-0,00482229;-120,003;119,994;11,5401;25,1583;12,1313;-34,1116;-139,14;87,7885;5;0,8;632;L B
127,005;127,011;127,012;-0,00482229;-120,003;119,994;11,1526;15,3209;11,1963;-41,1409;-140,661;93,5526;10;0,8;632;L B
127,005;127,011;127,012;-0,00482229;-120,003;119,994;11,1118;10,3781;10,6883;-44,9664;-145,947;96,6029;20;0,8;632;L B
127,005;127,011;127,012;-0,00482229;-120,003;119,994;11,1413;7,55069;10,3714;-47,2911;-153,963;98,4897;50;0,8;632;L B
127,005;127,011;127,012;-0,00482229;-120,003;119,994;16,416;24,5053;125,941;-119,605;-153,415;37,3879;0;0,8;632;L C
127,005;127,011;127,012;-0,00482229;-120,003;119,994;18,5414;19,8737;106,229;-94,3223;-133,272;64,8019;0,5;0,8;632;L C
127,005;127,011;127,012;-0,00482229;-120,003;119,994;17,7479;15,1456;82,4482;-79,4708;-124,646;80,531;1;0,8;632;L C
127,005;127,011;127,012;-0,00482229;-120,003;119,994;15,7645;10,2213;54,8518;-66,2179;-123,694;94,1898;2;0,8;632;L C
127,005;127,011;127,012;-0,00482229;-120,003;119,994;13,3844;6,78116;29,8194;-55,9999;-137,668;103,252;5;0,8;632;L C
127,005;127,011;127,012;-0,00482229;-120,003;119,994;12,3433;6,04402;20,1506;-52,3952;-149,347;104,645;10;0,8;632;L C
127,005;127,011;127,012;-0,00482229;-120,003;119,994;11,7776;5,86956;15,1595;-50,6014;-156,589;103,805;20;0,8;632;L C
127,005;127,011;127,012;-0,00482229;-120,003;119,994;11,4246;5,84192;12,1494;-49,5368;-161,178;102,025;50;0,8;632;L C
127,005;127,011;127,012;-0,00482229;-120,003;119,994;124,317;117,533;9,62233;-53,5117;129,723;82,9122;0;0,8;632;LL AB
