Threshold,Recall,Specificity,Precision,ROC_AUC,AHP_Score,TP,FP,FN,TN
0.05,1.0,0.0,0.910377358490566,1.0,0.878,193,19,0,0
0.060000000000000005,1.0,0.0,0.910377358490566,1.0,0.878,193,19,0,0
0.07,1.0,0.0,0.910377358490566,1.0,0.878,193,19,0,0
0.08000000000000002,1.0,0.0,0.910377358490566,1.0,0.878,193,19,0,0
0.09000000000000001,1.0,0.0,0.910377358490566,1.0,0.878,193,19,0,0
0.1,1.0,0.0,0.910377358490566,1.0,0.878,193,19,0,0
0.11000000000000001,1.0,0.0,0.910377358490566,1.0,0.878,193,19,0,0
0.12000000000000001,1.0,0.0,0.910377358490566,1.0,0.878,193,19,0,0
0.13,1.0,0.0,0.910377358490566,1.0,0.878,193,19,0,0
0.14,1.0,0.0,0.910377358490566,1.0,0.878,193,19,0,0
0.15000000000000002,1.0,0.0,0.910377358490566,1.0,0.878,193,19,0,0
0.16000000000000003,1.0,0.0,0.910377358490566,1.0,0.878,193,19,0,0
0.17000000000000004,1.0,0.0,0.910377358490566,1.0,0.878,193,19,0,0
0.18000000000000005,1.0,0.0,0.910377358490566,1.0,0.878,193,19,0,0
0.19,1.0,0.0,0.910377358490566,1.0,0.878,193,19,0,0
0.2,1.0,0.0,0.910377358490566,1.0,0.878,193,19,0,0
0.21000000000000002,1.0,0.0,0.910377358490566,1.0,0.878,193,19,0,0
0.22000000000000003,1.0,0.0,0.910377358490566,1.0,0.878,193,19,0,0
0.23000000000000004,1.0,0.0,0.910377358490566,1.0,0.878,193,19,0,0
0.24000000000000005,1.0,0.0,0.910377358490566,1.0,0.878,193,19,0,0
0.25000000000000006,1.0,0.0,0.910377358490566,1.0,0.878,193,19,0,0
0.26000000000000006,1.0,0.0,0.910377358490566,1.0,0.878,193,19,0,0
0.27,1.0,0.0,0.910377358490566,1.0,0.878,193,19,0,0
0.28,1.0,0.0,0.910377358490566,1.0,0.878,193,19,0,0
0.29000000000000004,1.0,0.0,0.910377358490566,1.0,0.878,193,19,0,0
0.30000000000000004,1.0,0.0,0.910377358490566,1.0,0.878,193,19,0,0
0.31000000000000005,1.0,0.0,0.910377358490566,1.0,0.878,193,19,0,0
0.32000000000000006,1.0,0.0,0.910377358490566,1.0,0.878,193,19,0,0
0.33,1.0,0.0,0.910377358490566,1.0,0.878,193,19,0,0
0.34,1.0,0.0,0.910377358490566,1.0,0.878,193,19,0,0
0.35000000000000003,1.0,0.0,0.910377358490566,1.0,0.878,193,19,0,0
0.36000000000000004,1.0,0.0,0.910377358490566,1.0,0.878,193,19,0,0
0.37000000000000005,1.0,0.0,0.910377358490566,1.0,0.878,193,19,0,0
0.38000000000000006,1.0,0.0,0.910377358490566,1.0,0.878,193,19,0,0
0.39000000000000007,1.0,0.0,0.910377358490566,1.0,0.878,193,19,0,0
0.4000000000000001,1.0,0.0,0.910377358490566,1.0,0.878,193,19,0,0
0.4100000000000001,1.0,0.0,0.910377358490566,1.0,0.878,193,19,0,0
0.42000000000000004,1.0,0.0,0.910377358490566,1.0,0.878,193,19,0,0
0.43000000000000005,1.0,0.0,0.910377358490566,1.0,0.878,193,19,0,0
0.44000000000000006,1.0,0.0,0.910377358490566,1.0,0.878,193,19,0,0
