Nodo_Falla;Fases_en_Falla;Va;Vb;Vc;Ia;Ib;Ic;Tipo_Falla;Resistencia_Falla (Ohm);Nodos con carga;Posición carga
N.A;Sin_Falla;123,74;125,43;124,33;1,244;1,081;0,866;N.A;N.A;N.A;0
N.A;Sin_Falla;124,23;126;123,55;1,39;1,17;0,97;N.A;N.A;671;1
N.A;Sin_Falla;124,11;125,57;123,96;1,58;1,31;1,17;N.A;N.A;671;2
N.A;Sin_Falla;123,5;126,2;123,34;1,78;1,49;1,37;N.A;N.A;671;3
N.A;Sin_Falla;123,29;125,36;123,17;2,06;1,74;1,64;N.A;N.A;671;4
N.A;Sin_Falla;123,74;124,86;123,28;2,28;1,93;1,86;N.A;N.A;671;5
N.A;Sin_Falla;123,5;124,37;123,67;2,49;2,14;2,11;N.A;N.A;671;6
N.A;Sin_Falla;123,7;124,76;122,89;2,71;2,37;2,34;N.A;N.A;671;7
N.A;Sin_Falla;123,27;124,36;122,61;2,96;2,6;2,59;N.A;N.A;671;8
N.A;Sin_Falla;123,39;124,35;122,46;3,17;2,86;2,85;N.A;N.A;671;9
N.A;Sin_Falla;122,83;124,27;122,38;3,39;3,08;3,07;N.A;N.A;671;10
N.A;Sin_Falla;124,37;125,85;124,57;1,52;1,28;1,13;N.A;N.A;675;1
N.A;Sin_Falla;124,45;125,42;124,39;1,91;1,62;1,51;N.A;N.A;675;2
N.A;Sin_Falla;123,77;125,48;123,92;2,28;2;1,89;N.A;N.A;675;3
N.A;Sin_Falla;123,61;125,2;123,57;2,65;2,37;2,3;N.A;N.A;675;4
N.A;Sin_Falla;123,29;125,05;123;3,02;2,79;2,68;N.A;N.A;675;5
N.A;Sin_Falla;123,01;124,9;122,34;3,39;3,15;3,07;N.A;N.A;675;6
N.A;Sin_Falla;124,61;126,92;124,18;1,56;1,08;1,44;N.A;N.A;692;1
N.A;Sin_Falla;124,91;126,23;124,43;1,95;1,08;2,01;N.A;N.A;692;2
N.A;Sin_Falla;124,69;126,25;124,21;2,35;1,09;2,48;N.A;N.A;692;3
N.A;Sin_Falla;124,74;126,37;124,04;2,71;1,09;2,91;N.A;N.A;692;4
N.A;Sin_Falla;124,7;126,23;123,68;3,07;1,09;3,33;N.A;N.A;692;5
N.A;Sin_Falla;125,12;126,49;123,44;3,48;1,09;3,81;N.A;N.A;692;6
N.A;Sin_Falla;124,82;126,36;124,64;1,24;1,05;1,13;N.A;N.A;645;1
N.A;Sin_Falla;124,57;126,4;124,21;1,28;1,03;1,49;N.A;N.A;645;2
N.A;Sin_Falla;124,67;126,25;124,03;1,32;1,02;1,89;N.A;N.A;645;3
N.A;Sin_Falla;124,28;126,5;123,52;1,24;1;2,25;N.A;N.A;645;4
N.A;Sin_Falla;125,02;126,41;123,28;1,38;0,99;2,67;N.A;N.A;645;5
N.A;Sin_Falla;124,45;126,03;122,77;1,4;0,98;3,02;N.A;N.A;645;6
N.A;Sin_Falla;123,69;126,23;123,6;1,19;1,15;1,4;N.A;N.A;646;1
N.A;Sin_Falla;124,25;124,85;123,46;1,2;1,71;2,39;N.A;N.A;646;2
N.A;Sin_Falla;124,03;124,89;122,96;1,2;2,33;3,11;N.A;N.A;646;3
N.A;Sin_Falla;124,16;124,48;122,13;1,2;2,96;3,82;N.A;N.A;646;4
N.A;Sin_Falla;123,89;123,92;121,95;1,21;3,59;4,51;N.A;N.A;646;5
N.A;Sin_Falla;124,1;123,11;122,04;1,2;4,23;5,18;N.A;N.A;646;6
N.A;Sin_Falla;124,11;127,16;124,32;1,74;1,3;1,71;N.A;N.A;675, 692;1
N.A;Sin_Falla;124,33;126,13;124,97;1,92;1,47;1,87;N.A;N.A;675, 692, 671;1
N.A;Sin_Falla;124,74;125,83;124,35;1,92;1,85;2,66;N.A;N.A;675, 692, 671, 646;1
N.A;Sin_Falla;124,8;125,55;124,17;1,95;1,88;2,99;N.A;N.A;675, 692, 671, 646, 645;1
N.A;Sin_Falla;124,46;126,01;124,5;2,25;1,62;2,54;N.A;N.A;675, 692;2
N.A;Sin_Falla;124,16;125,53;124,4;2,55;2,03;2,92;N.A;N.A;675,692,671;2
N.A;Sin_Falla;123,62;125,46;122,77;2,53;3,1;4,44;N.A;N.A;675, 692, 671, 646;2
N.A;Sin_Falla;123,89;125;122,07;2,6;3,14;5,12;N.A;N.A;675, 692, 671, 646, 645;2
N.A;Sin_Falla;124;125,83;124,12;2,71;1,98;3,29;N.A;N.A;675, 692;3
N.A;Sin_Falla;124,09;124,88;123,42;3,13;2,64;3,82;N.A;N.A;675, 692, 671;3
N.A;Sin_Falla;123,69;123,77;121,67;3,12;4,34;5,98;N.A;N.A;675, 692, 671, 646;3
N.A;Sin_Falla;123,47;123,65;120,73;3,33;4,39;6,9;N.A;N.A;675, 692, 671, 646, 645;3
611;L C;124,01;125,9;122,5;1,36;0,99;2,42;Monofásica;50;N.A;0
611;L C;123,94;125,63;121,53;1,45;0,97;3,87;Monofásica;25;N.A;0
652;L A;121,77;125,59;125,1;4,14;1,29;0,84;Monofásica;25;N.A;0
652;L A;122,69;125,87;124,31;2,78;1,2;0,81;Monofásica;50;N.A;0
675;L A;123,93;125,88;124,39;2,36;1,16;0,83;Monofásica;50;N.A;0
675;L B;124,25;124,84;124,67;1,18;2,31;1,01;Monofásica;50;N.A;0
675;L C;124,47;126,03;122,98;1,33;1,01;2,26;Monofásica;50;N.A;0
675;L A;122,23;126,05;124,95;4,26;1,31;0,85;Monofásica;25;N.A;0
675;L B;123,86;123,35;124,59;1,22;4,11;1,17;Monofásica;25;N.A;0
675;L C;123,7;126,08;121,67;1,46;0,98;4,01;Monofásica;25;N.A;0
675;LL AB;120,83;121,42;124,47;6,63;7,15;0,75;Bifásica;25;N.A;0
675;LL BC;123,85;122,4;120,53;1,2;6,28;7,22;Bifásica;25;N.A;0
675;LL CA;120,44;125,64;120,59;7,15;1,15;6,66;Bifásica;25;N.A;0
675;LL AB;122,72;123,84;124,26;3,95;4,42;0,79;Bifásica;50;N.A;0
675;LL BC;124,32;124,17;121,74;1,2;3,48;4,35;Bifásica;50;N.A;0
675;LL CA;122,02;126,05;122,33;4,53;1,13;3,75;Bifásica;50;N.A;0
675;LLG AB;121,62;122,15;124,32;5,48;5,93;0,92;Bifásica tierra;50;N.A;0
675;LLG BC;124,27;122,58;120,76;1,33;5,24;5,9;Bifásica tierra;50;N.A;0
675;LLG CA;121,35;125,76;120,62;5,95;1,19;5,5;Bifásica tierra;50;N.A;0
692;LLL ABC;120,21;121,59;119,92;6,72;6,54;6,61;Trifásico ;50;N.A;0
692;LLG AB;120,89;122,95;124,07;5,84;6,21;0,9;Bif a tierra;50;N.A;0
692;LLG BC;124,29;123,35;120,53;1,37;5,58;6,2;Bif a tierra;50;N.A;0
692;LLG CA;121,06;126,48;120,91;6,31;1,21;5,81;Bif a tierra;50;N.A;0
692;LL AB;122,36;124,21;124,45;4,08;4,53;0,78;Bifásica;50;N.A;0
692;LL BC;124,33;124,67;122,21;1,24;3,62;4,52;Bifásica;50;N.A;0
692;LL CA;122,42;126,42;122,17;4,7;1,13;3,89;Bifásica;50;N.A;0
692;LL AB;120,76;122,12;125,48;6,89;7,42;0,74;Bifásica;25;N.A;0
692;LL BC;124,25;122,57;120,48;1,24;6,54;752;Bifásica;25;N.A;0
692;LL CA;121,02;126,61;120,58;7,41;1,17;6,95;Bifásica;25;N.A;0
