mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_colsample_bytree;param_learning_rate;param_max_depth;param_n_estimators;param_subsample;params;mean_test_score;std_test_score;rank_test_score
205,34968662261963;1,8474014749528476;0,38294196128845215;0,025229527635652654;0.8;0.3;3;200;0.8;{'colsample_bytree': 0.8, 'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8};0,9997234980908253;0,000256350429090846;1
263,1269749641418;0,8523908994080603;0,5373291015625;0,03804496999799931;0.8;0.3;3;300;0.8;{'colsample_bytree': 0.8, 'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8};0,9997234980908253;0,000256350429090846;1
235,6073468208313;1,6665112437396816;0,4366774082183838;0,01776496016193504;1.0;0.3;3;200;0.8;{'colsample_bytree': 1.0, 'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8};0,9997234980908253;0,000256350429090846;1
305,15310392379763;4,689248169592212;0,49268574714660646;0,021510317229802515;1.0;0.3;3;300;0.8;{'colsample_bytree': 1.0, 'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8};0,9997234980908253;0,000256350429090846;1
510,474991941452;3,452780554419758;0,8180514812469483;0,05660845092242579;0.8;0.1;9;300;1.0;{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 300, 'subsample': 1.0};0,9997234917722982;5,028284137690708e-05;5
272,35637011528013;1,8279104368297534;0,509416913986206;0,028817871713243317;0.8;0.3;9;300;1.0;{'colsample_bytree': 0.8, 'learning_rate': 0.3, 'max_depth': 9, 'n_estimators': 300, 'subsample': 1.0};0,9997234886130346;0,0001465843222558301;6
149,12697916030885;2,4041796646659592;0,2658401012420654;0,061889682824675295;1.0;0.3;3;100;0.8;{'colsample_bytree': 1.0, 'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8};0,9996983598303931;0,00023311309924490327;7
224,5975175380707;2,261694982333498;0,4206726551055908;0,02454436998530813;0.8;0.3;9;200;1.0;{'colsample_bytree': 0.8, 'learning_rate': 0.3, 'max_depth': 9, 'n_estimators': 200, 'subsample': 1.0};0,9996983535118659;0,00012818543798153042;8
486,2167155265808;5,892096736559527;0,8127013206481933;0,051599273340904916;0.8;0.1;9;300;0.8;{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 300, 'subsample': 0.8};0,9996983471933387;0,00017050249881711744;9
408,68293871879575;4,044226508491833;0,7099823474884033;0,025824462790803124;0.8;0.1;9;200;0.8;{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 200, 'subsample': 0.8};0,9996983471933387;0,00015083693422772993;9
